TQ;VN
纯色背景祛色彩断层是专门针对纯色背景研发的一键祛除色彩断层;Màu Nền bỏ màu sắc chụp cắt lớp được thiết kế cho nền màu nghiên cứu và phát triển một chìa khóa để thoát khỏi những màu sắc chụp cắt lớp
AI会自动识别纯色背景并祛除色彩断层;AI sẽ tự động xác định màu Nền và lau màu sắc chụp cắt lớp
可能是您移动了文件位置或修改了文件名;Có thể là bạn di chuyển vị trí của các tập tin hoặc sửa đổi tên tập tin
祛黑眼圈通过AI智能识别眼部色素沉;Bỏ tối vòng tròn bởi AI công nhận thông minh của mắt sắc tố
祛法令纹通过AI智能识别鼻翼两侧暗;Bỏ nếp gấp của AI công nhận thông minh của mũi trên cả hai mặt của bóng tối
肤色统一通过AI智能肤色识别达到全;Làn da là thống nhất của AI thông minh nhận dạng màu sắc đến đầy đủ
去双下巴通过AI智能识别下巴轮廓;Đi cằm đôi bởi AI công Nhận thông Minh cằm đường viền
纯色背景祛瑕疵是专门针对纯色背景;Màu Nền bỏ nhược điểm được thiết kế cho màu Nền
通过AI自动调色增强背景的饱和度;Bởi AI màu tự động cường của nền hòa
全身美型通过AI自动进行形体美化;Cơ thể Đẹp bởi AI tự động cho cơ thể đẹp
需要升级最新版本才能使用该预设哦;Bạn cần để nâng cấp phiên bản mới nhất để sử dụng các sẵn Oh
达到去除双下巴的同时保留正常脸;Để đạt được loại bỏ một cằm đôi khi vẫn giữ bình thường mặt
在多人靠近的情况下因容易产生坏;Ở nhiều người gần trường hợp do dễ bị xấu
n以便我们尽快迭代解决您的问题;n cho chúng tôi càng sớm càng tốt lặp đi lặp lại để giải quyết vấn đề của bạn
眼部色素情况判断效果生效程度;Màu mắt xác định hiệu ứng của nhập vào lực lượng mức độ
滑动滑竿时AI会自动根据纹路;Trượt trượt khi AI sẽ tự động theo đường
会自动识别纯色背景并祛除瑕疵;Tự động xác định màu Nền và thoát khỏi nhược điểm
年龄数据加载失败或识别不出来;Tuổi dữ liệu đã thất bại để tải hay không nhận ra
请先在左侧加选要应用的图片哦;Xin vui lòng ở phía bên trái của Thêm được lựa chọn để áp dụng những hình ảnh Oh
片肤色情况判断效果是否生效;Tấm màu trường hợp để xác định xem hiệu quả của sự có hiệu lực
适用于不想过多改变原图色调;Áp dụng để không muốn quá nhiều để thay đổi các nguyên tone
片目前AI会自动屏蔽效果噢;Bây giờ AI sẽ tự động che chắn có hiệu lực Oh
像素蛋糕暂时无法打开此文件;Điểm bánh là tạm thời không thể mở các file này
当前已开启旧版面部重塑效果;Đang trên đường di sản của mặt tái định hiệu ứng
滑动滑竿时AI会自动根据;Trượt trượt khi AI sẽ tự động theo những
暗沉情况判断效果生效程度;Ngu si đần độn xác định hiệu ứng của nhập vào lực lượng mức độ
暂仅支持撤销至最近10步;Tạm thời chỉ hỗ trợ thu hồi đến gần 10 bước
图像调节功能移动到这里了;Hình chức năng điều chỉnh để di chuyển đến đây.
证件照换背景移动到这里了;Ảnh nền được chuyển đến đây.
请描述该图片遇到的问题;Xin vui lòng mô tả những hình ảnh của gặp phải vấn đề
研发的一键祛瑕疵功能;Sự phát triển của một chìa khóa để loại bỏ nhược điểm chức năng
人物类型是否发生变化;Các nhân vật loại được thay đổi
是否需要保存涂抹修改;Cho dù anh cần phải tiết kiệm bôi sửa
正在处理涂抹数据中;Được xử lý bôi dữ liệu
着对其做充分的祛除;Với đầy đủ của nó rõ ràng
同时开启祛颈纹功能;Đồng thời gian để mở những loại bỏ cổ dòng chức năng
纯色背景祛色彩断层;Màu Nền bỏ màu sắc chụp cắt lớp
请选择一个问题分类;Xin vui lòng chọn một vấn đề phân loại
为保证淡化效果更;Để đảm bảo các phai có hiệu lực là hơn
身肤色一致的效果;Cơ thể màu kết quả phù hợp
启肤色统一开关后;Kai làn da là thống nhất chuyển
AI会自动根据图;AI sẽ tự động theo các con số
非纯色背景无效果;Không màu Nền không hiệu quả
年龄数据加载失败;Tuổi tải dữ liệu đã thất bại
张照片效果已同步;Hiệu ứng ảnh đã đồng bộ
新增历史记录功能;Lịch Sử Mới năng
同步到选中图片;Đồng bộ hóa để chọn những hình ảnh
沉对其进行淡化;Chìm vào nó khử
部看起来更年轻;Trông trẻ hơn
整体效果更好噢;Các hiệu ứng tổng thể là tốt hơn Oh
纯色背景祛瑕疵;Màu Nền bỏ nhược điểm
纯色背景无效果;Màu nền là không hợp lệ nếu
色彩氛围的情况;Màu bầu không khí
选择问题的分类;Chọn vấn đề phân loại
支持RAW调色;Hỗ trợ NGUYÊN mực
原始路径已复制;Ban đầu con đường đã được sao chép
图片未加载成功;Những hình ảnh được không nạp thành công
长按进行对比;Báo dài để so sánh
为保证祛除效;Để đảm bảo các loại hiệu quả
又想提升画面;Muốn tăng cường màn hình
证件照换背景;ID ảnh nền
结婚登记大图;Đăng ký của cuộc hôn nhân của con số lớn
马来西亚签证;Malaysia visa
请先选择分类;Xin Vui Lòng Chọn Loại
预设覆盖成功;Sẵn có thể thành công
预设保存成功;Định sẵn là cứu thành công
年龄性别修改;Tuổi đổi giới tính
侧脸无法识别;Mặt của mặt không thể được xác định
暂无操作记录;Không có điều hành hồ sơ
色彩调节功能;Điều chỉnh màu chức năng
一键背景修复;Một nền chìa khóa để sửa chữa
复制原始路径;Một bản sao của bản gốc của con đường
保存新预设;Cứu sẵn mới
身体祛瑕疵;Cơ thể mụn nhược điểm
填充鼻基底;Điền vào mũi cơ sở
为避免坏片;Để tránh những kẻ xấu tờ
自动识别中;Tự động nhận
非纯色背景;Không màu Nền
祛色彩断层;Bỏ màu sắc chụp cắt lớp
适用证件照;Cho vỡ sọ
上半身对称;Trên cơ thể đối xứng
HSL分组;KHỞI gói
证件照裁剪;ID ảnh cây trồng
双人照适用;Đôi ảnh cho
专业版限免;Bản chuyên nghiệp miễn phí
导出DPI;Khẩu ĐT
证件照大图;Chân dung lớn xem
公务员考试;Thi công vụ
创建新预设;Tạo ra một sẵn mới
覆盖旧预设;Ghi đè lên các già đặt trước
下拉框出现;Thả xuống hộp xuất hiện
预设不存在;Sẵn không tồn tại
效果已同步;Các hiệu ứng đã được đồng bộ hóa
问题已提交;Những vấn đề đã được trình
橡笔擦涂抹;Cao su bút lau bôi
证件照调整;Thiên điều chỉnh
重做操作了;Làm lại
请稍后再试;Xin vui lòng thử lại sau
正在处理;Được xử lý
手动涂抹;Hướng dẫn sử dụng bôi
同步效果;Đồng bộ có hiệu lực
祛斑祛痘;Tàn nhang mụn
祛抬头纹;Bỏ trán nếp nhăn
祛眼周纹;Bỏ mắt đường
祛黑眼圈;Bỏ quầng
果更自然;Nếu tự nhiên hơn
祛法令纹;Bỏ nếp gấp
祛双下巴;Bỏ hai cằm
型的效果;Loại có hiệu lực
祛妊娠纹;Bỏ vết rạn
祛妊娠线;Bỏ thai dòng
质感磨皮;Kết cấu mài da
水润磨皮;Hydra mài da
肤色透亮;Màu mờ
肤色美白;Làn da trắng
皮肤红润;Da dẻ hồng hào
肤色统一;Làn da là thống nhất
牙齿美白;Răng
牙齿修复;Sự phục hồi răng
背景调整;Điều chỉnh nền
自动识别;Nhận Dạng Tự Động
纯色背景;Màu Nền
背景增强;Nền tăng cường
对比度等;Ngược lại, etc.
高光立体;Ánh sáng ba chiều
阴影立体;Tối của quan điểm
眼妆增强;Trang điểm mắt tăng cường
唇妆增强;Tăng cường môi
主题妆容;Trang điểm chủ đề
对称液化;Đối xứng hóa lỏng
五官对称;Mặt đối xứng
面部重塑;Mặt vườn
使用旧版;Sử dụng những di sản
AI塑形;AI tạo hình
祛除瑕疵;Rõ ràng nhược điểm
皮肤调整;Da điều chỉnh
牙齿美化;Răng cảnh
眼睛增强;Mắt tăng cường
妆容调整;Trang điểm điều chỉnh
全身美型;Thể loại
打开开关;Mở đổi
关闭开关;Tắt công Tắc
背景选择;Nền chọn
查看更多;Xem nữa
边缘调整;Cạnh điều chỉnh
细节优化;Chi tiết của sự tối ưu
原始尺寸;Ban đầu kích thước
结婚登记;Đăng ký kết hôn
司法考试;Kiểm tra tư pháp
美国签证;Hoa Kỳ visa
欧洲签证;Châu Âu Visa
日本签证;Nhật bản visa
滤镜程度;Bộ lọc cấp
新建预设;Sẵn mới
预设名称;Tên đặt trước
新建分类;Phân loại mới
暂无分类;Không phân loại
您可以在;Bạn có thể
确认修改;Xác nhận thay đổi
后续处理;Điều trị theo dõi
系统提示;Hệ thống nhắc
导入预设;Để nhập định sẵn
问题上报;Vấn đề báo cáo
问题反馈;Hồi
历史记录;Lịch sử
画笔涂抹;Bàn chải bôi
不透明度;Mờ
开始涂抹;Bắt đầu bôi
加载失败;Thất bại để tải
支持撤销;Hỗ trợ lùi lại
我知道了;Tôi biết.
色彩调节;Điều chỉnh màu
人像美化;Những người như thế để làm đẹp
图像美化;Ảnh cảnh
原始位置;Nguyên vị trí
快捷键;Tắt
直方图;Biểu đồ
祛颈纹;Bỏ cổ đường
中性灰;Trung lập màu xám
开启后;Sau khi mở
祛瑕疵;Bỏ nhược điểm
无效果;Không hiệu quả
摩尔纹;Gợn sóng
波纹等;Sóng, etc.
的功能;Tính năng
伪素颜;Giả trang điểm
锦鲤妆;Hồ trang điểm
千金妆;Con trang điểm
太阳穴;Đền thờ
发际线;Tóc
丰上唇;Sự phong phú của trên môi
丰下唇;Sự phong phú của môi dưới
瘦手臂;Cánh tay mỏng
浅绿色;Ánh sáng màu xanh lá cây
洋红色;Magenta
饱和度;Hòa
明亮度;Sáng
对比度;Ngược lại
清晰度;Rõ ràng
鲜艳度;Sống động
白平衡;Cân bằng trắng
证件照;Ảnh ID
身份证;ID
驾驶证;Giấy phép lái xe
入学照;Ảnh học
学信网;Thông tin quang mạng
请选择;Vui lòng chọn
预设1;Sẵn 1
中查看;Xem
并点击;Và nhấn vào
处理中;Xử lý
已重置;Đã được thiết lập lại
下一步;Tiếp theo
不存在;Không tồn tại
已导入;Nhập khẩu
张图片;Ảnh
取消;Hủy
保存;Tiết kiệm
预设;Đặt trước
祛痣;Bỏ nốt ruồi
让脸;Hãy để khuôn mặt
自然;Tự nhiên
脸部;Face
身体;Cơ thể
亮眼;Bright eyes
色块;Màu khối
韩系;Hàn quốc
甜美;Ngọt ngào
日系;Nhật bản
复古;Cổ điển
欧美;Châu âu và Hoa Kỳ
眉毛;Lông mày
眼妆;Trang điểm mắt
睫毛;Mi
腮红;Blush
口红;Son môi
瘦脸;Face
颧骨;Xương gò má
下颌;Hàm dưới
小头;Cái đầu nhỏ
小脸;Ít mặt
脸宽;Mặt rộng
下巴;Cằm
大小;Kích thước
眼高;Mắt chiều cao
眼宽;Mắt rộng
眼距;Mắt khoảng cách
倾斜;Nghiêng
位置;Vị trí
鼻高;Mũi cao
鼻梁;Cầu mũi
鼻翼;Mũi
鼻尖;Chóp mũi
嘴宽;Miệng rộng
粗细;Dày
眉距;Tiêu đề khoảng cách
形状;Hình dạng
脸型;Face
眼睛;Mắt
鼻子;Mũi
嘴巴;Miệng
全身;Cơ thể
局部;Một phần
瘦腰;Eo mỏng
瘦腿;Chân gầy
丰胸;Nâng
美臀;Vẻ đẹp hip
瘦身;Giảm béo
头部;Đầu
长腿;Chân dài
增高;Tăng
红色;Đỏ
橙色;Orange
黄色;Màu vàng
绿色;Xanh
蓝色;Màu xanh
紫色;Màu tím
色相;Hue
曝光;Tiếp xúc
高光;Ánh sáng cao
阴影;Shadow
白色;Trắng
黑色;Black
偏好;Sở thích
锐化;Mài
半径;Bán kính
细节;Chi tiết
色温;Nhiệt độ màu
色调;Tông
滤镜;Bộ lọc
影调;Shadow tone
单人;Đơn
儿童;Trẻ em
长辈;Những người lớn tuổi
重置;Thiết lập lại
背景;Nền
尺寸;Kích thước
像素;Điểm
1寸;1 inch
2寸;2 inch
护照;Hộ chiếu
程度;Mức độ
开启;Mở
关闭;Gần
分类;Phân loại
提交;Gửi
例如;Ví dụ
羽化;Lông
文件;Tập tin
确认;Xác nhận
原始;Ban đầu
开;Mở
非;Không
左;Trái
右;Phải
男;Nam
女;Nữ
无;Không có
